ParticleType,Energy
2pi-,183.285
mu-,487.951
2mu-,476.552
3mu-,405.182
2mu+,181.35
3mu+,149.694
pi-,539.432
2pi-,538.292
3pi-,470.092
mu-,195.868
2mu-,184.477
3mu-,91.9421
pi-,849.201
2pi-,803.445
3pi-,274.461
pi-,534.756
2pi-,506.917
3pi-,457.616
pi-,460.884
2pi-,417.955
3mu-,317.358
pi+,605.031
2pi+,584.883
pi+,767.514
2pi+,737.899
pi-,891.715
2pi-,890.272
3pi-,811.157
3pi+,342.854
pi-,113.963
2pi-,112.538
2pi-,51.3802
3pi+,538.162
mu-,202.873
2mu-,70.2183
2pi-,389.617
pi-,28.5138
pi+,488.874
2pi+,487.238
pi-,1587
2pi-,1560.2
pi-,872.016
3mu+,256.837
pi+,694.558
pi-,1299.83
3mu-,529.121
pi+,1346.03
3pi+,357.074
3pi-,1000.5
3pi+,347.081
pi+,1537.59
2pi+,1536.43
3pi+,1460.65
mu+,203.3
2mu+,202.06
3mu+,144.427
pi+,1241.48
pi+,269.739
2mu+,188.249
3mu+,142.437
pi-,498.953
2pi-,496.714
3pi-,445.11
pi+,739.732
pi+,4458.22
2pi+,4456.33
3pi+,89.4181
3pi-,168.796
3pi+,1466.34
mu-,29.487
2mu-,26.5573
3mu-,23.4386
pi+,502.697
2pi+,501.534
3pi+,450.451
pi+,582.275
pi-,1693.87
2pi-,562.339
pi+,324.004
2pi+,251.65
mu+,234.678
2mu+,197.663
3mu+,104.147
pi+,588.294
pi+,590.402
2pi+,526.337
pi+,953.476
2pi+,952.157
mu-,1124.39
2mu-,1061
pi+,1277.7
pi+,346.769
3pi+,73.1638
pi+,251.819
pi-,491.089
2mu-,238.886
3mu-,180.466
mu+,490.876
2mu+,444.114
3mu+,374.502
pi-,80.1653
pi+,584.819
pi+,732.613
2pi+,643.369
3pi+,546.773
pi-,283.336
2pi-,282.051
3mu-,301.682
pi+,331.958
2mu+,281.576
3mu+,280.088
mu+,90.3739
mu-,195.352
pi+,279.453
2pi+,278.281
3pi+,277.034
pi+,2469.62
2mu+,2417.9
3mu+,2416.63
mu-,102.244
pi-,113.843
2pi-,112.17
pi-,294.951
2pi-,293.659
3pi-,292.202
mu-,197.33
2mu-,196.197
3mu-,194.811
pi+,767.01
2mu+,598.097
3mu+,506.545
mu-,566.906
2mu-,538.726
3mu-,462.089
2pi+,269.945
pi+,748.763
2pi+,718.949
3pi+,620.392
pi+,184.107
2pi+,182.777
3mu+,171.899
pi+,2500.5
2pi+,2499.33
3pi+,2497.88
mu+,368.123
2mu+,366.77
3mu+,365.372
pi-,505.249
2pi-,504.001
3pi-,481.46
3mu+,581.104
pi+,51.1448
pi-,62.7714
2pi-,60.7953
3mu-,80.2788
pi-,818.207
pi-,1257.61
pi-,544.382
2mu-,351.488
3mu-,306.467
pi-,358.008
2mu-,276.379
3mu-,233.451
pi+,595.757
2pi+,594.306
3pi+,507.234
pi-,481.195
pi-,861.445
2mu-,573.155
3mu-,571.716
pi+,466.822
2pi+,405.103
mu+,206.102
pi+,886.045
2mu-,78.298
pi+,582.305
mu+,60.811
pi+,83.1167
pi+,223.053
pi+,328.469
pi+,368.72
2pi+,367.595
3pi+,316.877
pi-,681.394
2pi-,680.259
mu+,331.911
2mu+,276.039
pi+,876.454
3mu+,303.446
pi-,294.976
pi+,302.778
2pi+,301.307
3pi+,299.966
pi+,1243.94
2mu+,294.241
pi-,434.257
2pi-,413.384
pi-,906.826
2mu-,811.813
3mu-,718.473
pi-,388.13
pi-,479.862
2mu-,366.008
3mu-,336.79
mu+,316.563
pi-,609.997
2pi-,608.859
3pi-,559.422
pi-,2087.44
mu-,64.5115
2mu-,62.6744
pi-,83.4273
2pi-,81.3279
mu-,228.543
2mu-,194.824
3mu-,139.573
pi+,476.289
2pi+,71.5993
pi-,482.449
pi+,580.573
2pi+,538.446
3pi+,432.946
pi-,1798.3
2pi-,1796.77
3pi-,1795.32
pi-,266.622
pi+,68.7197
2pi-,1102.53
3pi-,1081.31
pi+,1276.51
2pi+,1167.11
2pi-,513.704
pi+,221.636
2pi+,219.895
3mu+,181.094
mu+,310.032
2mu+,308.462
3mu+,307.222
