Detector,ParticleType,x[cm],px[MeV/c],y[cm],py[MeV/c],z[cm],pz[MeV/c],TotalEnergy[MeV]
1,pi+,-7.60992,-0.00585687,5.01966,0.126048,450.95,0.643173,530.559
2,pi+,6.50235,-0.0361914,-3.97582,-0.118974,1097.45,0.641971,529.064
1,pi+,-7.57708,-0.178363,-13.7331,-0.064217,450.95,0.475999,391.459
1,pi-,4.49868,-0.0263798,-3.49107,0.131355,450.95,0.511387,407.19
2,pi-,15.2401,0.012039,8.57294,0.13544,1097.45,0.509634,406.045
3,pi-,3.13615,0.05325,6.88466,0.11191,1769.95,0.440266,338.628
3,pi-,7.93868,0.0447195,-41.2696,-0.0310012,1769.95,1.05845,929.43
1,pi+,6.02797,-0.108058,-16.5237,-0.20249,450.95,0.83423,736.842
3,pi+,11.4615,0.0486223,41.1021,-0.124003,1769.95,0.535143,429.287
3,mu+,-13.2502,0.142073,43.9485,0.057849,1769.95,0.655081,575.39
1,pi+,-7.31679,0.134168,14.6214,0.226895,450.95,0.542863,479.835
1,pi+,-8.08209,-0.276152,2.38399,0.0723149,450.95,1.36621,1263.11
1,pi-,15.7194,0.0101113,5.00532,0.203693,450.95,1.13792,1024.88
2,pi-,20.0303,0.152121,-13.8185,0.127974,1097.45,1.13764,1023.71
2,pi+,13.7265,-0.00291183,-18.8176,0.0675355,1097.55,-0.363542,255.666
3,pi-,24.4556,-0.0812144,39.4652,0.044909,1769.95,0.930432,805.837
1,mu+,4.97296,0.0374488,4.07234,0.0070607,450.95,0.535486,441.48
2,mu+,3.99066,0.0202189,7.75548,0.0328344,1097.45,0.533858,439.919
3,mu+,4.30977,-0.00823855,4.23671,0.0339652,1769.95,0.532949,438.785
1,pi+,4.00845,0.185634,13.5434,0.0387592,450.95,1.55597,1434.11
2,pi+,-14.5938,-0.147708,-16.4714,0.119467,1097.45,1.55454,1432.74
3,pi+,-64.8086,-0.158405,-19.9335,-0.00280596,1769.95,1.40274,1278.98
1,pi-,18.2238,0.079131,5.90713,0.173361,450.95,0.508264,420.901
1,pi+,-12.945,-0.0363467,-5.73246,0.108446,450.95,0.408537,307.044
2,mu+,2.57421,-0.0225964,-9.78883,-0.120911,1097.45,0.343581,274.265
3,mu+,-43.6973,0.038184,3.12217,0.0975021,1769.95,0.249747,185.033
1,pi+,20.0601,0.302797,0.458066,-0.231959,450.95,3.31159,3196.84
1,pi+,-0.413059,0.0687276,11.1695,0.0540121,450.95,0.285411,189.944
1,pi+,-16.955,-0.133766,0.754966,0.0986122,450.95,1.09361,975.365
2,pi+,-12.6481,-0.164342,-10.9073,0.0156081,1097.45,1.0645,946.657
3,pi+,-17.0566,0.153514,59.2716,0.0418359,1769.95,0.97784,860.914
1,pi+,7.92407,0.0932809,12.9694,-0.0894179,450.95,0.349727,258.533
2,pi+,17.4241,0.129366,16.2491,0.0156548,1097.45,0.347844,257.237
3,mu+,38.6999,-0.0427939,-28.0246,-0.05264,1769.95,0.110942,61.8944
1,pi-,-12.0859,0.0568017,-4.88114,-0.208175,450.95,1.10099,991.016
2,pi-,-23.2242,-0.0585538,7.16322,-0.183418,1097.45,1.06615,952.778
2,pi-,-7.87007,-0.276831,-31.5692,-0.0148376,1097.5,0.330954,314.154
1,mu+,-8.01007,0.0185555,8.14785,0.0808929,450.95,0.520374,431.781
2,mu+,-15.1876,-0.0240198,13.2425,0.080156,1097.45,0.519132,430.685
3,mu+,-15.9932,-0.0356779,15.2681,0.0758092,1769.95,0.468323,381.691
1,mu-,7.77064,-0.0319267,-18.0584,-0.0713838,450.95,0.0791364,47.7725
1,mu+,-1.01124,0.417786,15.2116,0.2345,450.95,1.52907,1500.19
1,pi+,-6.44767,-0.0822444,-7.50868,-0.00591275,450.95,0.577198,459.959
2,pi+,1.46852,0.0158186,-9.22407,-0.0825666,1097.45,0.575333,458.389
3,mu+,-2.82242,-0.0477156,-33.4541,-0.0399952,1769.95,0.35084,265.998
1,pi+,14.0524,0.0423499,-1.791,-0.134513,450.95,1.14166,1019.21
2,pi+,14.5366,0.123985,11.4065,-0.0627878,1097.45,1.14064,1017.95
3,pi+,13.6536,0.269607,-43.2166,0.0665745,1769.95,0.601404,537.398
3,pi-,-16.3474,-0.201659,22.0449,0.0189558,1769.95,0.762742,661.854
1,mu-,-3.47765,-0.00947332,-1.31686,-0.0684018,450.95,0.217022,145.401
2,mu-,-3.35607,-0.0375717,6.63196,0.0571689,1097.45,0.215887,144.243
3,mu-,-36.7122,-0.0366658,0.0271882,-0.0502857,1769.95,0.148037,86.5692
1,pi-,16.5562,0.0145915,10.0534,0.289032,450.95,1.72501,1615.1
2,pi-,4.21505,0.256519,-3.26585,0.0671959,1097.45,0.186013,213.13
1,pi+,10.2621,0.0908838,0.932036,-0.00256611,450.95,0.606084,488.987
2,pi+,0.599004,-0.0522281,-3.05826,0.0743943,1097.45,0.604661,487.611
3,pi+,21.1013,-0.0816041,-8.54682,-0.0352026,1769.95,0.560806,445.133
1,pi+,15.5719,0.297844,11.9813,0.0519895,450.95,0.489279,452.281
1,pi+,13.7616,0.313196,15.3336,0.173449,450.95,1.18882,1109.81
1,pi-,10.4916,0.101803,10.4529,0.388542,450.95,0.989048,937.009
1,pi+,-4.57114,-0.119212,0.729573,0.0185422,450.95,0.394802,296.209
1,pi+,-1.48733,-0.00286829,0.65995,0.0132123,450.95,0.883905,755.388
2,pi+,-2.06353,0.00871833,1.84253,0.0139406,1097.45,0.882037,753.592
3,pi+,2.88573,-0.0131271,-2.26994,-0.00978787,1769.95,0.879877,751.458
1,pi-,4.84834,0.253565,-16.5946,-0.0925775,450.95,0.776498,694.273
1,pi+,-12.3022,-0.191627,-5.49158,-0.326086,450.95,0.262446,341.481
1,pi+,-7.88517,0.318247,13.5521,0.17068,450.95,2.00566,1903.11
1,pi+,6.71195,-0.0685522,-16.9767,-0.185861,450.95,0.656339,560.076
1,pi+,-4.17423,-0.0338483,-0.120961,0.0339075,450.95,0.623759,501.406
2,pi+,1.63715,0.00833787,-0.493022,-0.0481847,1097.45,0.622487,500.243
3,pi+,-8.72652,0.049605,7.316,0.00759076,1769.95,0.621212,499.102
1,mu-,-8.96753,-0.0661601,9.74028,0.0371484,450.95,0.175821,113.051
1,pi+,0.404978,-0.0310541,-0.756401,0.0782645,450.95,0.507644,393.601
2,pi+,-8.98473,-0.0438484,3.22193,0.0706108,1097.45,0.506556,392.395
1,pi-,12.8868,0.0570362,-0.479963,0.00936699,450.95,0.322021,216.123
2,pi-,23.9604,0.0408943,4.34718,0.0425714,1097.45,0.320494,214.945
3,mu-,12.6889,0.0218232,-0.735029,-0.0381772,1769.95,0.17039,99.5977
1,mu+,2.6794,0.0208845,1.74959,-0.00360464,450.95,0.0530593,14.4581
2,mu+,0.0629166,-0.0146081,-9.74384,-0.00824311,1097.45,0.0424142,9.4231
1,pi-,-8.75554,0.427013,5.27923,-0.195666,450.95,0.0472061,352.701
1,pi+,-6.69532,0.525462,16.7135,-0.138351,450.95,0.680513,742.376
1,pi-,-2.63049,-0.269205,1.99854,-0.313375,450.95,1.39814,1325
1,mu-,-2.73882,0.01719,-4.82516,-0.0628653,450.95,0.738125,642.833
2,mu-,6.50998,0.0412073,-6.17911,0.0510258,1097.45,0.736878,641.64
3,mu-,-17.3425,0.00956539,-0.539639,-0.0647126,1769.95,0.735729,640.492
1,pi+,5.93876,0.13326,5.68708,-0.0221254,450.95,0.777386,661.714
2,pi+,14.865,-0.0531157,-9.99916,-0.128148,1097.45,0.77502,660.041
3,pi+,-24.3012,0.105688,24.176,0.0295414,1769.95,0.672263,555.743
1,mu+,14.2822,0.0564989,3.17228,0.00785389,450.95,0.141294,79.7638
1,mu+,20.045,0.0311287,-3.70171,-0.0121104,450.95,0.060584,20.6334
1,mu-,17.4064,0.122014,-8.96904,0.0449402,450.95,0.304044,241.492
1,pi-,1.12552,0.0320718,-2.25425,0.0226216,450.95,0.864035,736.544
2,pi-,3.34104,-0.000756645,0.0856464,0.036907,1097.45,0.862971,735.393
3,pi-,-11.779,0.0103421,-2.28471,-0.0340511,1769.95,0.861487,733.875
1,pi+,-0.206202,-0.0485404,-15.5939,-0.165032,450.95,0.734994,628.08
1,mu+,-3.0721,-0.0169413,7.86734,0.0145419,450.95,0.0676985,21.7983
2,mu+,-2.76867,0.00925071,24.3303,0.0183295,1097.45,0.0619297,18.5201
1,pi+,-1.46829,-0.178728,-4.99549,-0.0210996,450.95,1.35583,1235.26
2,pi+,21.3197,0.0273286,8.34435,-0.169388,1097.45,1.31423,1193.14
3,pi+,-36.1373,-0.142692,-32.8066,0.0738432,1769.95,1.20627,1085.33
