x,y,z,bx,by,bz,particle,energy,volume
238.013352,-11.534492,5960.000000,1.471259,-0.071299,4.723744,mu+,120.374009,Solenoid_1_FieldVolume
46.022068,-39.532710,-470.000000,1.232753,-1.058928,20.469558,pi+,144.557934,Solenoid_1_FieldVolume
-3.673032,-17.677994,-136.100209,0.000000,0.000000,20.469558,pi+,142.409615,Solenoid_1_FieldVolume
-1.843530,-20.090089,-14.331725,0.000000,0.000000,20.469558,pi+,141.075523,Solenoid_1_FieldVolume
-0.767201,-24.365490,25.559454,0.000000,0.000000,20.469558,pi+,140.355818,Solenoid_1_FieldVolume
-4.166596,-23.709932,36.828665,0.000000,0.000000,20.469558,pi+,139.934471,Solenoid_1_FieldVolume
-3.493336,-23.579923,40.120340,0.000000,0.000000,20.469558,pi+,139.754407,Solenoid_1_FieldVolume
-1.746202,-23.811490,41.305063,0.000000,0.000000,20.469558,pi+,139.636195,Solenoid_1_FieldVolume
-2.213169,-24.113525,41.633576,0.000000,0.000000,20.469558,pi+,139.570100,Solenoid_1_FieldVolume
0.546312,-25.639888,294.474812,-0.000000,0.000000,20.469558,mu+,108.169908,Solenoid_1_FieldVolume
-5.350787,-30.778590,345.598126,0.000000,0.000000,20.469558,mu+,107.004344,Solenoid_1_FieldVolume
-0.974034,-28.708253,362.589298,0.000000,0.000000,20.469558,mu+,106.355584,Solenoid_1_FieldVolume
-2.024193,-27.874058,368.582098,0.000000,0.000000,20.469558,mu+,105.995270,Solenoid_1_FieldVolume
-2.023712,-29.427877,371.380069,0.000000,0.000000,20.469558,mu+,105.817607,Solenoid_1_FieldVolume
-2.882882,-28.528739,372.402134,0.000000,0.000000,20.469558,mu+,105.719537,Solenoid_1_FieldVolume
152.050311,43.728262,-470.000000,4.072838,1.171311,20.469558,pi-,589.432775,Solenoid_1_FieldVolume
64.011602,-40.690906,3574.618936,-0.000000,0.000000,9.447488,pi-,575.719786,Solenoid_1_FieldVolume
-243.151295,161.266694,6810.000000,-1.002012,0.664571,3.149163,mu-,408.399544,Solenoid_1_FieldVolume
17.471983,51.234956,10645.500000,0.073923,0.216773,3.149163,mu-,383.867284,Solenoid_1_FieldVolume
-149.100046,85.140893,14940.000000,-0.307216,0.175430,1.574581,mu-,339.519063,Solenoid_1_FieldVolume
42.447187,156.393646,-470.000000,1.136995,4.189179,20.469558,pi+,437.181976,Solenoid_1_FieldVolume
38.400449,133.022017,3780.000000,0.474738,1.644528,9.447488,pi+,404.485311,Solenoid_1_FieldVolume
-46.527929,-59.688292,2080.000000,-0.766956,-0.983888,12.596651,mu-,1413.911389,Solenoid_1_FieldVolume
-241.600642,48.545706,5960.000000,-1.493433,0.300081,4.723744,mu-,1413.207188,Solenoid_1_FieldVolume
138.209264,-393.375628,10210.000000,0.569552,-1.621078,3.149163,mu-,1360.627944,Solenoid_1_FieldVolume
339.106309,239.700737,14090.000000,0.698719,0.493896,1.574581,mu-,1178.814572,Solenoid_1_FieldVolume
-40.249248,-57.328509,2080.000000,-0.663459,-0.944990,12.596651,pi+,523.559539,Solenoid_1_FieldVolume
-108.048449,-168.352684,5960.000000,-0.667892,-1.040657,4.723744,pi+,415.813387,Solenoid_1_FieldVolume
-420.274132,-307.018762,7680.000000,1.932993,1.412091,3.149163,pi+,235.907603,Solenoid_1_FieldVolume
-88.015695,50.942253,2080.000000,-1.450830,0.839720,12.596651,pi-,796.123881,Solenoid_1_FieldVolume
169.937740,279.181334,5960.000000,1.050455,1.725735,4.723744,pi-,786.410252,Solenoid_1_FieldVolume
129.263531,-22.320341,2080.000000,2.130750,-0.367923,12.596651,pi-,1034.383466,Solenoid_1_FieldVolume
-119.417372,286.740069,5960.000000,-0.738168,1.772458,4.723744,mu-,821.571347,Solenoid_1_FieldVolume
183.548908,343.397729,10210.000000,0.756394,1.415122,3.149163,mu-,792.989824,Solenoid_1_FieldVolume
-333.131285,-320.329437,14090.000000,-0.686407,-0.660029,1.574581,mu-,608.405707,Solenoid_1_FieldVolume
-302.409977,-125.318206,6810.000000,-1.246214,-0.516429,3.149163,pi+,1538.202375,Solenoid_1_FieldVolume
52.778473,-254.150244,-470.000000,1.413731,-6.807699,20.469558,pi+,411.761637,Solenoid_1_FieldVolume
56.644309,24.390742,380.000000,1.517281,0.653333,20.469558,pi+,408.163302,Solenoid_1_FieldVolume
68.401671,243.469648,3780.000000,0.845638,3.009973,9.447488,pi+,275.629823,Solenoid_1_FieldVolume
-264.170366,443.818528,2080.000000,-4.354523,7.315801,12.596651,mu-,849.192122,Solenoid_1_FieldVolume
7.030483,1.320690,1230.000000,0.188319,0.035376,20.469558,pi-,602.228491,Solenoid_1_FieldVolume
1.736744,3.704686,5110.500000,0.014696,0.031349,6.298326,pi-,601.217906,Solenoid_1_FieldVolume
0.449824,-1.020646,9360.000000,0.001854,-0.004206,3.149163,pi-,600.477286,Solenoid_1_FieldVolume
5.432760,16.401241,12411.311467,-0.000000,-0.000000,1.574581,pi-,599.866329,Solenoid_1_FieldVolume
-96.213312,30.756066,16640.000000,-0.198245,0.063372,1.574581,mu-,554.914710,Solenoid_1_FieldVolume
17.297002,-75.489103,1230.000000,0.463320,-2.022060,20.469558,mu+,126.292130,Solenoid_1_FieldVolume
-13.623943,6.489043,5110.500000,-0.115285,0.054910,6.298326,mu+,124.234383,Solenoid_1_FieldVolume
-31.869803,35.321631,9360.000000,-0.131334,0.145558,3.149163,mu+,121.677178,Solenoid_1_FieldVolume
81.451041,4.297461,13240.000000,0.167827,0.008855,1.574581,mu+,119.216638,Solenoid_1_FieldVolume
126.724486,-6.620641,17490.000000,0.261112,-0.013642,1.574581,mu+,115.898621,Solenoid_1_FieldVolume
-1.370261,10.531072,1230.000000,-0.036704,0.282087,20.469558,pi+,1396.446421,Solenoid_1_FieldVolume
8.645474,-28.223838,5110.500000,0.073157,-0.238828,6.298326,pi+,1395.703390,Solenoid_1_FieldVolume
-81.274310,29.291143,9360.000000,-0.334927,0.120707,3.149163,pi+,1395.062339,Solenoid_1_FieldVolume
52.133895,62.235567,13240.000000,0.107420,0.128235,1.574581,pi+,1394.333230,Solenoid_1_FieldVolume
115.891692,-73.782076,17490.000000,0.238791,-0.152026,1.574581,pi+,1393.567124,Solenoid_1_FieldVolume
23.856902,-0.303616,-470.000000,0.639034,-0.008133,20.469558,pi+,253.565188,Solenoid_1_FieldVolume
31.716917,-33.712284,2930.000000,0.457462,-0.486242,11.022070,mu+,200.301766,Solenoid_1_FieldVolume
-102.863203,-62.566084,2080.000000,-1.695573,-1.031325,12.596651,pi+,627.844183,Solenoid_1_FieldVolume
-8.772762,-32.620839,-1254.712903,0.000000,0.000000,20.469558,pi+,377.772116,Solenoid_1_FieldVolume
125.279765,-91.046388,2930.000000,1.806947,-1.313189,11.022070,pi-,732.223475,Solenoid_1_FieldVolume
133.319560,-124.192874,181.001210,-0.000000,0.000000,20.469558,pi-,464.619982,Solenoid_1_FieldVolume
300.479067,-541.393330,3780.000000,3.714770,-6.693151,9.447488,mu-,314.064243,Solenoid_1_FieldVolume
73.345617,-51.779066,2080.000000,1.209012,-0.853514,12.596651,mu+,269.984446,Solenoid_1_FieldVolume
-64.742183,-3.772052,1230.000000,-1.734192,-0.101039,20.469558,pi-,421.915881,Solenoid_1_FieldVolume
70.657337,73.572916,1230.000000,1.892636,1.970733,20.469558,pi+,341.377325,Solenoid_1_FieldVolume
265.318151,-110.647478,5960.000000,1.640041,-0.683958,4.723744,pi+,265.356618,Solenoid_1_FieldVolume
100.708137,-156.199673,10210.000000,0.415012,-0.643690,3.149163,pi+,237.794274,Solenoid_1_FieldVolume
-67.639313,-58.669557,1230.000000,-1.811795,-1.571530,20.469558,pi+,235.817796,Solenoid_1_FieldVolume
-145.794315,-47.850930,2080.000000,-2.403240,-0.788764,12.596651,pi-,556.704605,Solenoid_1_FieldVolume
213.665425,-384.473738,5110.500000,1.808022,-3.253390,6.298326,mu-,300.601598,Solenoid_1_FieldVolume
45.213929,-562.288724,9360.000000,0.186324,-2.317159,3.149163,mu-,238.038718,Solenoid_1_FieldVolume
87.474420,17.159072,2930.000000,1.261669,0.247490,11.022070,pi+,637.920430,Solenoid_1_FieldVolume
83.760760,107.439411,6810.000000,0.345173,0.442752,3.149163,pi+,628.282419,Solenoid_1_FieldVolume
79.199597,89.894414,10645.500000,0.335091,0.380340,3.149163,pi+,599.037234,Solenoid_1_FieldVolume
18.999167,-41.645754,-470.000000,0.508914,-1.115528,20.469558,pi-,801.409803,Solenoid_1_FieldVolume
-6.204498,-99.624095,3780.000000,-0.076705,-1.231635,9.447488,pi-,800.786282,Solenoid_1_FieldVolume
-66.753864,-166.727692,7660.000000,-0.275089,-0.687075,3.149163,pi-,790.104047,Solenoid_1_FieldVolume
-559.142723,421.140612,11394.610848,0.000000,-0.000000,1.574581,pi-,561.552894,Solenoid_1_FieldVolume
38.954595,-41.570120,2930.000000,0.561854,-0.599578,11.022070,pi+,282.197702,Solenoid_1_FieldVolume
-96.626453,87.366996,5960.000000,-0.597288,0.540051,4.723744,mu+,187.655810,Solenoid_1_FieldVolume
-70.231067,126.794750,10210.000000,-0.289418,0.522514,3.149163,mu+,186.107999,Solenoid_1_FieldVolume
-240.024771,78.291094,14090.000000,-0.494564,0.161317,1.574581,mu+,185.187750,Solenoid_1_FieldVolume
92.775201,51.981651,2080.000000,1.529285,0.856853,12.596651,pi+,646.327646,Solenoid_1_FieldVolume
229.388830,111.523097,5960.000000,1.417947,0.689370,4.723744,pi+,572.473681,Solenoid_1_FieldVolume
-41.530965,125.574196,10210.000000,-0.171147,0.517484,3.149163,pi+,518.309310,Solenoid_1_FieldVolume
-94.845456,33.762315,2930.000000,-1.367984,0.486964,11.022070,pi-,485.039200,Solenoid_1_FieldVolume
1.967356,-128.407306,6810.000000,0.008107,-0.529159,3.149163,pi-,484.280225,Solenoid_1_FieldVolume
160.846626,-104.485669,10645.500000,0.680537,-0.442075,3.149163,pi-,483.297928,Solenoid_1_FieldVolume
-153.001798,82.478114,14940.000000,-0.315256,0.169944,1.574581,pi-,440.468314,Solenoid_1_FieldVolume
48.246681,181.347337,380.000000,1.292341,4.857592,20.469558,pi+,597.154094,Solenoid_1_FieldVolume
16.392332,64.438805,-970.683967,-0.000000,-0.000000,20.469558,pi+,154.063285,Solenoid_1_FieldVolume
-52.321497,-91.089391,2080.000000,-0.862455,-1.501496,12.596651,pi-,240.761336,Solenoid_1_FieldVolume
-20.101028,-130.064581,-470.000000,-0.538429,-3.483926,20.469558,pi-,1319.381851,Solenoid_1_FieldVolume
51.323724,-251.690945,4215.500000,0.434298,-2.129791,6.298326,pi-,523.457404,Solenoid_1_FieldVolume
89.976160,122.680533,2080.000000,1.483146,2.022237,12.596651,pi+,348.521579,Solenoid_1_FieldVolume
47.061580,-151.919656,2080.000000,0.775752,-2.504208,12.596651,pi+,1076.646805,Solenoid_1_FieldVolume
63.774218,-105.623021,5110.500000,0.539653,-0.893775,6.298326,pi+,297.013948,Solenoid_1_FieldVolume
7.685974,-52.586771,9360.000000,0.031673,-0.216707,3.149163,pi+,296.264678,Solenoid_1_FieldVolume
202.042354,-58.604614,13240.000000,0.416302,-0.120753,1.574581,pi+,295.411061,Solenoid_1_FieldVolume
-13.206917,-107.412737,17490.000000,-0.027212,-0.221321,1.574581,pi+,294.562526,Solenoid_1_FieldVolume
78.714312,-235.187762,2930.000000,1.135320,-3.392182,11.022070,pi+,457.199182,Solenoid_1_FieldVolume
281.441871,-215.377296,2930.000000,4.059319,-3.106450,11.022070,pi-,432.697341,Solenoid_1_FieldVolume
235.374106,-117.116919,4215.500000,1.991719,-0.991035,6.298326,pi-,353.625991,Solenoid_1_FieldVolume
-49.801424,-15.957948,1230.000000,-1.333987,-0.427452,20.469558,pi+,686.351097,Solenoid_1_FieldVolume
-81.570430,-252.729999,5110.500000,-0.690243,-2.138584,6.298326,pi+,685.519855,Solenoid_1_FieldVolume
-100.016567,-297.700952,9360.000000,-0.412162,-1.226808,3.149163,pi+,644.245970,Solenoid_1_FieldVolume
348.282887,0.830145,13240.000000,0.717627,0.001710,1.574581,pi+,634.573973,Solenoid_1_FieldVolume
-112.266320,-338.546983,17490.000000,-0.231321,-0.697566,1.574581,pi+,581.033546,Solenoid_1_FieldVolume
270.470118,289.041561,1230.000000,7.244845,7.742302,20.469558,mu-,211.502823,Solenoid_1_FieldVolume
148.317489,-160.257201,-470.000000,3.972850,-4.292669,20.469558,pi+,452.974132,Solenoid_1_FieldVolume
149.184180,-118.109130,2930.000000,2.151727,-1.703523,11.022070,pi+,413.365067,Solenoid_1_FieldVolume
88.771230,75.700979,5960.000000,0.548732,0.467939,4.723744,mu+,293.505262,Solenoid_1_FieldVolume
145.094430,-115.282425,10210.000000,0.597926,-0.475072,3.149163,mu+,292.623320,Solenoid_1_FieldVolume
25.958961,26.822203,14090.000000,0.053488,0.055266,1.574581,mu+,270.046841,Solenoid_1_FieldVolume
-2.100535,-109.060123,380.000000,-0.056265,-2.921298,20.469558,pi+,180.169262,Solenoid_1_FieldVolume
24.807809,-124.409614,3780.000000,0.306695,-1.538054,9.447488,mu+,137.819891,Solenoid_1_FieldVolume
285.584081,436.593567,2930.000000,4.119063,6.297118,11.022070,pi-,229.512218,Solenoid_1_FieldVolume
16.830755,-81.028470,2365.293414,-0.000000,0.000000,11.022070,pi+,286.442395,Solenoid_1_FieldVolume
149.664180,272.081340,5960.000000,0.925136,1.681847,4.723744,mu+,195.991950,Solenoid_1_FieldVolume
232.706673,220.083879,9460.425916,-0.000000,-0.000000,3.149163,mu+,107.929877,Solenoid_1_FieldVolume
236.746817,219.697932,9638.104326,-0.000000,-0.000000,3.149163,mu+,106.876051,Solenoid_1_FieldVolume
241.296159,215.366335,9701.323547,-0.000000,-0.000000,3.149163,mu+,106.291140,Solenoid_1_FieldVolume
251.858483,220.398104,9722.707901,-0.000000,-0.000000,3.149163,mu+,105.995861,Solenoid_1_FieldVolume
251.284715,214.511923,9729.175465,-0.000000,-0.000000,3.149163,mu+,105.822825,Solenoid_1_FieldVolume
249.411639,213.156716,9730.938683,-0.000000,-0.000000,3.149163,mu+,105.718663,Solenoid_1_FieldVolume
248.853638,212.940297,9731.293183,-0.000000,-0.000000,3.149163,mu+,105.658372,Solenoid_1_FieldVolume
218.459548,350.965896,-470.000000,5.851684,9.401015,20.469558,pi-,840.584398,Solenoid_1_FieldVolume
232.479666,147.380803,-1300.000000,-6.950179,-4.406076,20.469558,pi-,171.546564,Solenoid_1_FieldVolume
-47.718902,-5.230480,1230.000000,-1.278204,-0.140104,20.469558,pi-,449.617006,Solenoid_1_FieldVolume
-124.821430,-110.398047,5110.500000,-1.056230,-0.934181,6.298326,pi-,448.902578,Solenoid_1_FieldVolume
-163.937129,-30.868504,9360.000000,-0.675575,-0.127207,3.149163,pi-,448.250765,Solenoid_1_FieldVolume
-6.284449,109.135769,13240.000000,-0.012949,0.224871,1.574581,pi-,447.523582,Solenoid_1_FieldVolume
33.154337,-79.299983,17490.000000,0.068314,-0.163395,1.574581,pi-,446.482269,Solenoid_1_FieldVolume
1.825173,30.346068,2080.000000,0.030086,0.500218,12.596651,mu+,311.898192,Solenoid_1_FieldVolume
223.639163,32.336674,5960.000000,1.382406,0.199886,4.723744,mu+,311.198755,Solenoid_1_FieldVolume
132.734138,-94.975330,10210.000000,0.546990,-0.391388,3.149163,mu+,299.723830,Solenoid_1_FieldVolume
92.973635,65.286307,14090.000000,0.191569,0.134521,1.574581,mu+,265.155295,Solenoid_1_FieldVolume
