Step,X_mm,Y_mm,Z_mm,R_mm,Bx_Tesla,By_Tesla,Bz_Tesla,B_magnitude_Tesla,Particle,Volume,TrackID
6965,49.2506,74.1277,1602.0263,88.9975,0.00000000,0.00000000,16.66482426,16.66482426,N15,Solenoid_1_FieldVolume,4230
6985,143.8632,251.0381,3480.0000,289.3384,0.00000000,0.00000000,7.40658856,7.40658856,proton,Solenoid_1_FieldVolume,4227
6990,38.9706,-121.7885,3915.5000,127.8716,0.00000000,0.00000000,11.10988284,11.10988284,proton,Solenoid_1_FieldVolume,4226
7155,-311.3749,-401.9181,1780.0000,508.4215,0.00000000,0.00000000,16.66482426,16.66482426,gamma,Solenoid_1_FieldVolume,4325
7220,289.0289,-135.5541,3915.5000,319.2375,0.00000000,0.00000000,11.10988284,11.10988284,gamma,Solenoid_1_FieldVolume,4324
7225,635.5153,-317.6957,8459.6003,710.5000,0.00000000,0.00000000,1.85164714,1.85164714,gamma,Solenoid_1_FieldVolume,4324
7270,5.5024,1.9267,3480.0000,5.8300,0.00000000,0.00000000,7.40658856,7.40658856,proton,Solenoid_1_FieldVolume,1
7275,13.2097,-2.2949,7860.0000,13.4076,0.00000000,0.00000000,3.70329428,3.70329428,proton,Solenoid_1_FieldVolume,1
7280,18.6900,-9.3332,12240.5000,20.8908,0.00000000,0.00000000,1.85164714,1.85164714,proton,Solenoid_1_FieldVolume,1
7285,22.6224,-17.5056,16490.0000,28.6045,0.00000000,0.00000000,1.85164714,1.85164714,proton,Solenoid_1_FieldVolume,1
7290,-0.8577,2.1335,1780.0000,2.2995,0.00000000,0.00000000,16.66482426,16.66482426,proton,Solenoid_1_FieldVolume,1
7295,2.7515,7.8253,6160.0000,8.2949,0.00000000,0.00000000,3.70329428,3.70329428,proton,Solenoid_1_FieldVolume,1
7300,8.4109,11.2122,10410.0000,14.0163,0.00000000,0.00000000,1.85164714,1.85164714,proton,Solenoid_1_FieldVolume,1
7305,14.3432,14.3023,14790.0000,20.2554,0.00000000,0.00000000,1.85164714,1.85164714,proton,Solenoid_1_FieldVolume,1
7310,0.0000,0.0000,80.0000,0.0000,0.00000000,0.00000000,24.07141282,24.07141282,proton,Solenoid_1_FieldVolume,1
7315,1.6458,-8.2265,3915.5000,8.3895,0.00000000,0.00000000,11.10988284,11.10988284,proton,Solenoid_1_FieldVolume,1
7320,-4.8798,-15.5618,8710.0000,16.3090,0.00000000,0.00000000,1.85164714,1.85164714,proton,Solenoid_1_FieldVolume,1
7325,-13.0105,-20.0400,13090.0000,23.8930,0.00000000,0.00000000,1.85164714,1.85164714,proton,Solenoid_1_FieldVolume,1
7330,-21.8635,-22.6992,17340.0000,31.5161,0.00000000,0.00000000,1.85164714,1.85164714,proton,Solenoid_1_FieldVolume,1
7335,-20.4795,-24.8715,1780.0000,32.2180,0.00000000,0.00000000,16.66482426,16.66482426,proton,Solenoid_1_FieldVolume,1
7340,-119.1611,-13.9479,6160.0000,119.9747,0.00000000,0.00000000,3.70329428,3.70329428,proton,Solenoid_1_FieldVolume,1
7345,-196.2690,47.8655,10410.0000,202.0213,0.00000000,0.00000000,1.85164714,1.85164714,proton,Solenoid_1_FieldVolume,1
7350,-257.7596,130.2747,14790.0000,288.8105,0.00000000,0.00000000,1.85164714,1.85164714,proton,Solenoid_1_FieldVolume,1
7355,0.0000,0.0000,80.0000,0.0000,0.00000000,0.00000000,24.07141282,24.07141282,proton,Solenoid_1_FieldVolume,1
7420,397.5575,-317.3482,930.0000,508.6864,0.00000000,0.00000000,24.07141282,24.07141282,gamma,Solenoid_1_FieldVolume,11
7475,-426.7303,717.7229,590.6003,835.0000,0.00000000,0.00000000,24.07141282,24.07141282,neutron,Solenoid_1_FieldVolume,82
7615,-688.8954,-157.7605,930.0000,706.7286,0.00000000,0.00000000,24.07141282,24.07141282,gamma,Solenoid_1_FieldVolume,180
7635,-728.9352,-407.2819,7.3073,835.0000,0.00000000,0.00000000,24.07141282,24.07141282,neutron,Solenoid_1_FieldVolume,74
8015,-73.9791,-539.6522,930.0000,544.6994,0.00000000,0.00000000,24.07141282,24.07141282,gamma,Solenoid_1_FieldVolume,388
9105,0.4344,87.6850,1780.0000,87.6860,0.00000000,0.00000000,16.66482426,16.66482426,proton,Solenoid_1_FieldVolume,72
9140,-505.3241,-664.7350,-1343.4188,835.0000,0.00000000,0.00000000,24.07141282,24.07141282,nu_e,Solenoid_1_FieldVolume,1009
9150,664.9664,505.0194,-834.3846,835.0000,0.00000000,0.00000000,24.07141282,24.07141282,nu_mu,Solenoid_1_FieldVolume,1006
9155,-2.8876,4.2174,3480.0000,5.1112,0.00000000,0.00000000,7.40658856,7.40658856,e+,Solenoid_1_FieldVolume,1039
9160,-105.8552,-175.6924,7860.0000,205.1174,0.00000000,0.00000000,3.70329428,3.70329428,e+,Solenoid_1_FieldVolume,1039
9165,-66.6375,-222.6946,10845.5000,232.4509,0.00000000,0.00000000,3.70329428,3.70329428,e+,Solenoid_1_FieldVolume,1039
9170,-241.6529,-467.5672,15536.3757,526.3224,0.00000000,0.00000000,1.85164714,1.85164714,e+,Solenoid_1_FieldVolume,1039
9175,-241.5486,-457.3409,18190.0000,517.2102,0.00000000,0.00000000,1.85164714,1.85164714,e+,Solenoid_1_FieldVolume,1039
9180,-485.6340,45.2033,18190.0000,487.7333,0.00000000,0.00000000,1.85164714,1.85164714,gamma,Solenoid_1_FieldVolume,1041
9185,9.9612,-365.0751,13940.0000,365.2110,0.00000000,0.00000000,1.85164714,1.85164714,e-,Solenoid_1_FieldVolume,1040
9190,16.8117,-375.1687,18190.0000,375.5452,0.00000000,0.00000000,1.85164714,1.85164714,e-,Solenoid_1_FieldVolume,1040
9195,-20.8699,37.9299,3915.5000,43.2924,0.00000000,0.00000000,11.10988284,11.10988284,e-,Solenoid_1_FieldVolume,1038
