x,y,z,bx,by,bz,particle,energy,volume
71.458828,-17.105616,2930.000000,0.140687,-0.033677,11.022070,pi+,308.063151,Solenoid_1_FieldVolume
225.578462,-88.725609,6810.000000,0.190336,-0.074864,4.723744,pi+,307.327346,Solenoid_1_FieldVolume
295.521837,-168.846707,10210.000000,0.166353,-0.095046,3.149163,mu+,291.336407,Solenoid_1_FieldVolume
124.527781,-108.394665,14090.000000,0.070098,-0.061017,3.149163,mu+,290.753677,Solenoid_1_FieldVolume
33.973220,-39.850985,2080.000000,0.095620,-0.112163,15.745814,pi-,472.568226,Solenoid_1_FieldVolume
-91.476206,512.691050,5960.000000,-0.077185,0.432592,4.723744,pi-,471.539653,Solenoid_1_FieldVolume
-492.772103,245.162024,10210.000000,-0.277388,0.138005,3.149163,pi-,470.516188,Solenoid_1_FieldVolume
601.484990,149.154050,14090.000000,0.338584,0.083961,3.149163,pi-,469.517666,Solenoid_1_FieldVolume
-20.130792,86.392898,2080.000000,-0.056659,0.243158,15.745814,pi+,1475.210734,Solenoid_1_FieldVolume
-213.799745,432.169766,5960.000000,-0.180397,0.364650,4.723744,pi+,1474.511136,Solenoid_1_FieldVolume
154.323257,-546.909271,10210.000000,0.086871,-0.307862,3.149163,pi+,1473.748862,Solenoid_1_FieldVolume
103.895527,-118.892447,380.000000,0.380147,-0.435020,20.469558,pi+,837.367308,Solenoid_1_FieldVolume
151.428731,-219.886916,4215.500000,0.212951,-0.309222,7.872907,pi+,836.553506,Solenoid_1_FieldVolume
57.274651,-506.066291,8510.000000,0.032241,-0.284871,3.149163,pi+,835.753478,Solenoid_1_FieldVolume
-32.990684,209.615651,12268.226640,0.000000,-0.000000,3.149163,pi+,835.036587,Solenoid_1_FieldVolume
-193.292925,141.023823,15790.000000,-0.108807,0.079384,3.149163,mu+,635.277908,Solenoid_1_FieldVolume
-328.169905,-127.615360,-470.000000,-1.200752,-0.466936,20.469558,pi-,305.458152,Solenoid_1_FieldVolume
-294.403953,-132.743950,2930.000000,-0.579619,-0.261345,11.022070,mu-,221.961100,Solenoid_1_FieldVolume
-113.568366,72.173316,2930.000000,-0.223592,0.142094,11.022070,pi+,594.405743,Solenoid_1_FieldVolume
-29.682433,48.153381,380.000000,-0.108606,0.176190,20.469558,pi+,372.635910,Solenoid_1_FieldVolume
-85.976382,17.179380,4215.500000,-0.120907,0.024159,7.872907,pi+,371.548650,Solenoid_1_FieldVolume
-182.770248,15.463720,8510.000000,-0.102884,0.008705,3.149163,pi+,370.700464,Solenoid_1_FieldVolume
-686.319223,137.716826,11640.729218,0.000000,-0.000000,3.149163,pi+,369.824926,Solenoid_1_FieldVolume
-135.800914,131.115554,-470.000000,-0.496887,0.479743,20.469558,pi-,595.980707,Solenoid_1_FieldVolume
-263.742989,-8.416310,3780.000000,-0.445393,-0.014213,9.447488,pi-,594.291906,Solenoid_1_FieldVolume
116.354947,208.133414,-709.790865,-0.000000,-0.000000,20.469558,pi-,202.719205,Solenoid_1_FieldVolume
-39.191489,-160.932284,380.000000,-0.143399,-0.588841,20.469558,pi-,267.825550,Solenoid_1_FieldVolume
-6.482184,-164.886186,4215.500000,-0.009116,-0.231876,7.872907,pi-,266.745085,Solenoid_1_FieldVolume
-211.499681,-364.596598,8510.000000,-0.119056,-0.205236,3.149163,pi-,264.713505,Solenoid_1_FieldVolume
135.940032,-465.501482,12390.000000,0.076522,-0.262037,3.149163,pi-,263.099419,Solenoid_1_FieldVolume
-72.883282,-370.559674,16640.000000,-0.041027,-0.208593,3.149163,pi-,261.837768,Solenoid_1_FieldVolume
-288.886670,110.753349,2080.000000,-0.813090,0.311722,15.745814,pi+,931.210504,Solenoid_1_FieldVolume
199.309270,-201.451713,5960.000000,0.168171,-0.169978,4.723744,pi+,930.391917,Solenoid_1_FieldVolume
-52.854306,81.439107,1230.000000,-0.193390,0.297980,20.469558,pi+,1061.869050,Solenoid_1_FieldVolume
-205.955802,-24.222332,5110.500000,-0.289838,-0.034088,7.872907,pi+,1060.896076,Solenoid_1_FieldVolume
-43.418718,-153.931802,9360.000000,-0.024441,-0.086650,3.149163,pi+,1059.863599,Solenoid_1_FieldVolume
-386.572349,299.796111,13240.000000,-0.217607,0.168759,3.149163,pi+,1059.235386,Solenoid_1_FieldVolume
-263.151810,-126.609838,17490.000000,-0.148132,-0.071270,3.149163,pi+,1058.431477,Solenoid_1_FieldVolume
215.880800,326.885977,2930.000000,0.425024,0.643569,11.022070,pi+,379.186893,Solenoid_1_FieldVolume
-120.519426,-40.983877,2930.000000,-0.237277,-0.080689,11.022070,pi-,640.380083,Solenoid_1_FieldVolume
-44.527408,-217.565704,6634.744144,0.000000,0.000000,4.723744,pi-,639.616632,Solenoid_1_FieldVolume
213.165878,-352.497022,10210.000000,0.119994,-0.198425,3.149163,mu-,561.467184,Solenoid_1_FieldVolume
255.352112,-27.959831,14090.000000,0.143741,-0.015739,3.149163,mu-,560.653566,Solenoid_1_FieldVolume
82.106204,-200.412863,380.000000,0.300421,-0.733297,20.469558,mu+,112.437039,Solenoid_1_FieldVolume
125.818172,-226.098358,1365.602534,-0.000000,0.000000,15.745814,mu+,109.540004,Solenoid_1_FieldVolume
114.809742,-224.604619,1708.625636,-0.000000,0.000000,15.745814,mu+,107.654909,Solenoid_1_FieldVolume
119.786924,-226.294777,1818.325514,-0.000000,0.000000,15.745814,mu+,106.724627,Solenoid_1_FieldVolume
118.114709,-225.995225,1854.317466,-0.000000,0.000000,15.745814,mu+,106.224261,Solenoid_1_FieldVolume
117.150340,-226.572280,1866.120711,-0.000000,0.000000,15.745814,mu+,105.966093,Solenoid_1_FieldVolume
118.201569,-227.474653,1868.781276,-0.000000,0.000000,15.745814,mu+,105.807204,Solenoid_1_FieldVolume
118.859282,-229.117819,1869.455472,-0.000000,0.000000,15.745814,mu+,105.710428,Solenoid_1_FieldVolume
146.177334,439.002103,380.000000,0.534853,1.606279,20.469558,mu-,124.197444,Solenoid_1_FieldVolume
10.174281,495.276501,2503.678528,-0.000000,-0.000000,11.022070,mu-,117.501366,Solenoid_1_FieldVolume
-51.066278,500.495885,3719.689875,0.000000,-0.000000,9.447488,mu-,112.554300,Solenoid_1_FieldVolume
-34.023078,-73.251890,380.000000,-0.124488,-0.268024,20.469558,pi+,1268.360823,Solenoid_1_FieldVolume
-10.378556,-111.142747,4215.500000,-0.014595,-0.156298,7.872907,pi+,1267.523680,Solenoid_1_FieldVolume
