X_mm,Y_mm,Z_mm,Bx_Tesla,By_Tesla,Bz_Tesla,Particle,Volume
-55.8273,-13.6095,80.0000,0.00000000,0.00000000,24.07141282,gamma,Solenoid_1_FieldVolume
-1.2681,-4.8949,2630.0000,0.00000000,0.00000000,11.10988284,proton,Solenoid_1_FieldVolume
-10.6682,-8.8948,7010.0000,0.00000000,0.00000000,3.70329428,proton,Solenoid_1_FieldVolume
-20.3061,-8.7449,10845.5000,0.00000000,0.00000000,3.70329428,proton,Solenoid_1_FieldVolume
-30.3813,-6.2836,15640.0000,0.00000000,0.00000000,1.85164714,proton,Solenoid_1_FieldVolume
8.6107,7.3518,930.0000,0.00000000,0.00000000,24.07141282,proton,Solenoid_1_FieldVolume
64.8852,-19.2731,5310.5000,0.00000000,0.00000000,9.25823570,proton,Solenoid_1_FieldVolume
91.1303,-77.6998,9560.0000,0.00000000,0.00000000,1.85164714,proton,Solenoid_1_FieldVolume
99.0895,-142.8275,13940.0000,0.00000000,0.00000000,1.85164714,proton,Solenoid_1_FieldVolume
91.2554,-205.1157,18190.0000,0.00000000,0.00000000,1.85164714,proton,Solenoid_1_FieldVolume
-32.7825,-57.3270,3480.0000,0.00000000,0.00000000,7.40658856,proton,Solenoid_1_FieldVolume
-129.7508,-71.5549,7860.0000,0.00000000,0.00000000,3.70329428,proton,Solenoid_1_FieldVolume
-225.2480,-45.8629,12240.5000,0.00000000,0.00000000,1.85164714,proton,Solenoid_1_FieldVolume
-309.4796,-0.5206,16490.0000,0.00000000,0.00000000,1.85164714,proton,Solenoid_1_FieldVolume
-23.9439,834.6566,221.4175,0.00000000,0.00000000,24.07141282,gamma,Solenoid_1_FieldVolume
-119.6333,20.8992,3476.3363,0.00000000,0.00000000,7.40658856,proton,Solenoid_1_FieldVolume
55.9203,-833.1254,155.0844,0.00000000,0.00000000,24.07141282,gamma,Solenoid_1_FieldVolume
-295.0059,197.0050,930.0000,0.00000000,0.00000000,24.07141282,gamma,Solenoid_1_FieldVolume
175.5984,665.9233,930.0000,0.00000000,0.00000000,24.07141282,anti_nu_e,Solenoid_1_FieldVolume
-481.6153,-317.9532,-750.0000,0.00000000,0.00000000,24.07141282,gamma,Solenoid_1_FieldVolume
546.6467,631.1913,-256.5202,0.00000000,0.00000000,24.07141282,nu_e,Solenoid_1_FieldVolume
-178.9125,-741.4701,2340.7664,0.00000000,0.00000000,11.10988284,nu_e,Solenoid_1_FieldVolume
429.3555,-124.1206,3915.5000,0.00000000,0.00000000,11.10988284,proton,Solenoid_1_FieldVolume
-192.4437,-338.6614,7010.0000,0.00000000,0.00000000,3.70329428,gamma,Solenoid_1_FieldVolume
336.9507,-264.0755,7010.0000,0.00000000,0.00000000,3.70329428,gamma,Solenoid_1_FieldVolume
401.4205,-542.3904,7010.0000,0.00000000,0.00000000,3.70329428,gamma,Solenoid_1_FieldVolume
242.7344,-667.7501,10071.6912,0.00000000,0.00000000,1.85164714,gamma,Solenoid_1_FieldVolume
427.6856,-575.9439,7010.0000,0.00000000,0.00000000,3.70329428,gamma,Solenoid_1_FieldVolume
-645.1890,-297.5592,8700.8174,0.00000000,0.00000000,1.85164714,anti_nu_e,Solenoid_1_FieldVolume
-561.6369,435.1715,10391.6626,0.00000000,0.00000000,1.85164714,anti_nu_e,Solenoid_1_FieldVolume
234.3826,-632.7970,7860.0000,0.00000000,0.00000000,3.70329428,nu_mu,Solenoid_1_FieldVolume
